Distritos;X;Y
VEINTISIETE DE NOVIEMBRE;-11.1488559118; -76.7728174877
AYAVIRI;-12.3654601692; -76.0422952569
COCHAS;-12.2858369844; -76.1956994681
SAN JOAQUIN;-12.2458291618; -76.1055249298
TANTA;-12.1320399131; -75.9913298953
TOMAS;-12.1639275955; -75.7068291596
LA PERLA;-12.0702891545; -77.1161377264
PILCOMAYO;-12.0474746014; -75.2542689107
TRES DE DICIEMBRE;-12.1140157981; -75.2458530644
ANCON;-11.702568503; -77.0958901385
ATE;-12.0326633173; -76.8773255404
CHACLACAYO;-11.9916404851; -76.7669698029
VILLA MARIA DEL TRIUNFO;-12.1703036671; -76.9189970296
SAN BENITO;-7.50279410045; -78.9623270782
PAUCAS;-9.15101580774; -76.8846090786
PONTO;-9.3474512468; -76.9849010131
SAN PEDRO DE CHANA;-9.46657774172; -76.9823416603
UCO;-9.19112698938; -76.931541229
HUARMEY;-10.1738794151; -77.9186384659
MALVAS;-9.92103606297; -77.6647274401
HUASTA;-10.1139294307; -77.0315388981
AMASHCA;-9.22352581242; -77.6448838283
ANTA;-9.3610361697; -77.6324303027
COCHABAMBA;-9.46607073781; -77.8515620892
JANGAS;-9.44132971718; -77.6038385179
OLLEROS;-9.62185234504; -77.3716444899
PAMPAS GRANDE;-9.64574283192; -77.9103120862
PIRA;-9.52096317523; -77.6939772921
AIJA;-9.80042156319; -77.5676294715
LEONOR ORDOÑ‘EZ;-11.8691442691; -75.4313806973
MUQUI;-11.8384183661; -75.4376549432
HEROINAS TOLEDO;-11.8387402031; -75.2817782027
HUARIPAMPA;-11.8212780889; -75.4806023835
SAN LORENZO;-11.8386673948; -75.3785260388
YAUYOS;-11.7958385958; -75.514276477
SANTO DOMINGO DE ACOBAMBA;-11.8547698559; -74.6936127391
PANCAN;-11.7475124949; -75.4990280204
MARCO;-11.7604504538; -75.5677471602
COCHAS;-11.6200665351; -75.1413624455
MARISCAL CASTILLA;-11.5890550126; -75.1053399325
RICRAN;-11.5600321448; -75.4575212209
LLAYLLA;-11.4629467285; -74.6489923872
MONOBAMBA;-11.4085687682; -75.2310701721
PANGOA;-11.7916004031; -74.3665985431
PALCAMAYO;-11.270192423; -75.7778263808
SAN PEDRO DE CAJAS;-11.1234167312; -75.7857819665
SANTA BARBARA DE CARHUACAYAN;-11.1980488959; -76.364850958
SAUSA;-11.7926532567; -75.4832910947
SAN PEDRO DE CHUNAN;-11.7189232084; -75.4893059008
MALA;-12.6534750483; -76.6016686377
MATUCANA;-11.8161478008; -76.3794308044
CUENCA;-12.1565294654; -76.4569193084
HUANZA;-11.5611433933; -76.4436520139
CIENEGUILLA;-12.0765460299; -76.7774599698
LURIN;-12.2343483538; -76.8015572686
SANTA LUCIA;-14.9327983081; -74.545803543
UPAHUACHO;-14.8836475949; -73.5296471582
CORONEL CASTAÑ‘EDA;-14.7782792362; -73.164268546
LUCANAS;-14.4874502905; -74.3044063544
CARMEN SALCEDO;-14.46581922; -73.9817855372
CABANA;-14.3621379192; -74.0775044353
LARAMATE;-14.2499744492; -74.7662297625
SAN PEDRO DE PALCO;-14.2913077379; -74.4942605191
HUAC-HUAS;-14.1664029525; -74.9936623792
SANTIAGO DE PAUCARAY;-14.0874774228; -73.6533807659
SANCOS;-14.001017057; -74.559734805
CHALCOS;-13.8509548354; -73.7526061398
ACCOMARCA;-13.8062371172; -73.8674024708
BELEN;-13.8043146482; -73.7672577386
CARAPO;-13.8120596729; -74.3034382174
HUAMBALPA;-13.7443086601; -73.8879092505
HUAMANQUIQUIA;-13.7160784544; -74.275716392
HUANCAPI;-13.8046585839; -74.0898406713
CARHUANCA;-13.7394384911; -73.7820669171
SAURAMA;-13.7010217856; -73.7503468314
VILCAS HUAMAN;-13.655701443; -73.8963210615
ALCAMENCA;-13.6655360038; -74.2104506966
VILCANCHOS;-13.652381306; -74.6431840501
PARURO;-13.7266858821; -71.8557017954
VELILLE;-14.5490043269; -71.8491635586
CONDOROMA;-15.3007847633; -71.0740422031
PAMPAMARCA;-14.1418040619; -71.4465582306
HUARO;-13.7553194818; -71.6724000327
ESPINAR;-14.9253374921; -71.3528899122
COPORAQUE;-14.757195221; -71.6353792319
SANTIAGO DE QUIRAHUARA;-14.0553970467; -74.8922761195
CORDOVA;-14.0115592014; -75.1519738808
LARAMARCA;-13.9060115129; -75.0572738102
HUAYACUNDO ARMA;-13.5548801372; -75.311746851
NASCA;-14.8570348626; -75.0368859494
MARCONA;-15.1424220545; -75.0693434865
TIBILLO;-14.1503922339; -75.1609356056
LA TINGUIÑA;-14.010780416; -75.6733422537
PARCONA;-14.056866274; -75.700446869
SANTIAGO;-14.5107476858; -75.5152730479
ANDARAPA;-13.4972931614; -73.3885773313
ONGOY;-13.4153216029; -73.6506634241
LIMATAMBO;-13.4751052635; -72.4455264046
PUCYURA;-13.4846822136; -72.0936319919
HUANCARANI;-13.5109986811; -71.6311427738
CALCA;-13.268722216; -71.9577770747
